,Name,Player_url
0,Emil Forsberg,https://www.transfermarkt.com/emil-forsberg/profil/spieler/111078
0,Christopher Nkunku,https://www.transfermarkt.com/christopher-nkunku/profil/spieler/344381
0,Ademola Lookman,https://www.transfermarkt.com/ademola-lookman/profil/spieler/406040
0,Marcel Sabitzer,https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987
0,Fabrice Hartmann,https://www.transfermarkt.com/fabrice-hartmann/profil/spieler/405685
0,Timo Werner,https://www.transfermarkt.com/timo-werner/profil/spieler/170527
0,Yussuf Poulsen,https://www.transfermarkt.com/yussuf-poulsen/profil/spieler/157635
0,Patrik Schick,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086
0,Lukas Hradecky,https://www.transfermarkt.com/lukas-hradecky/profil/spieler/48015
0,Ramazan Özcan,https://www.transfermarkt.com/ramazan-ozcan/profil/spieler/16498
0,Niklas Lomb,https://www.transfermarkt.com/niklas-lomb/profil/spieler/85543
0,Jonathan Tah,https://www.transfermarkt.com/jonathan-tah/profil/spieler/196357
0,Edmond Tapsoba,https://www.transfermarkt.com/edmond-tapsoba/profil/spieler/564545
0,Sven Bender,https://www.transfermarkt.com/sven-bender/profil/spieler/29993
0,Aleksandar Dragovic,https://www.transfermarkt.com/aleksandar-dragovic/profil/spieler/59032
0,Wendell,https://www.transfermarkt.com/wendell/profil/spieler/228433
0,Daley Sinkgraven,https://www.transfermarkt.com/daley-sinkgraven/profil/spieler/215099
0,Mitchell Weiser,https://www.transfermarkt.com/mitchell-weiser/profil/spieler/119211
0,Lars Bender,https://www.transfermarkt.com/lars-bender/profil/spieler/30059
0,Julian Baumgartlinger,https://www.transfermarkt.com/julian-baumgartlinger/profil/spieler/34787
0,Adrian Stanilewicz,https://www.transfermarkt.com/adrian-stanilewicz/profil/spieler/389078
0,Kerem Demirbay,https://www.transfermarkt.com/kerem-demirbay/profil/spieler/125858
0,Exequiel Palacios,https://www.transfermarkt.com/exequiel-palacios/profil/spieler/401578
0,Charles Aránguiz,https://www.transfermarkt.com/charles-aranguiz/profil/spieler/89701
0,Kai Havertz,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400
0,Nadiem Amiri,https://www.transfermarkt.com/nadiem-amiri/profil/spieler/232454
0,Leon Bailey,https://www.transfermarkt.com/leon-bailey/profil/spieler/387626
0,Moussa Diaby,https://www.transfermarkt.com/moussa-diaby/profil/spieler/395516
0,Paulinho,https://www.transfermarkt.com/paulinho/profil/spieler/428791
0,Karim Bellarabi,https://www.transfermarkt.com/karim-bellarabi/profil/spieler/61087
0,Kevin Volland,https://www.transfermarkt.com/kevin-volland/profil/spieler/82009
0,Lucas Alario,https://www.transfermarkt.com/lucas-alario/profil/spieler/193782
0,Yann Sommer,https://www.transfermarkt.com/yann-sommer/profil/spieler/42205
0,Tobias Sippel,https://www.transfermarkt.com/tobias-sippel/profil/spieler/31653
0,Max Grün,https://www.transfermarkt.com/max-grun/profil/spieler/32779
0,Matthias Ginter,https://www.transfermarkt.com/matthias-ginter/profil/spieler/124502
0,Nico Elvedi,https://www.transfermarkt.com/nico-elvedi/profil/spieler/192635
0,Tony Jantschke,https://www.transfermarkt.com/tony-jantschke/profil/spieler/47587
0,Mamadou Doucouré,https://www.transfermarkt.com/mamadou-doucoure/profil/spieler/340480
0,Ramy Bensebaini,https://www.transfermarkt.com/ramy-bensebaini/profil/spieler/284732
0,Oscar Wendt,https://www.transfermarkt.com/oscar-wendt/profil/spieler/19305
0,Stefan Lainer,https://www.transfermarkt.com/stefan-lainer/profil/spieler/85791
0,Denis Zakaria,https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526
0,Christoph Kramer,https://www.transfermarkt.com/christoph-kramer/profil/spieler/82097
0,Tobias Strobl,https://www.transfermarkt.com/tobias-strobl/profil/spieler/57845
0,Florian Neuhaus,https://www.transfermarkt.com/florian-neuhaus/profil/spieler/278332
0,Lászlo Bénes,https://www.transfermarkt.com/laszlo-benes/profil/spieler/243188
0,Jonas Hofmann,https://www.transfermarkt.com/jonas-hofmann/profil/spieler/7161
0,Torben Müsel,https://www.transfermarkt.com/torben-musel/profil/spieler/368860
0,Fabian Johnson,https://www.transfermarkt.com/fabian-johnson/profil/spieler/31041
0,Keanan Bennetts,https://www.transfermarkt.com/keanan-bennetts/profil/spieler/321096
0,Patrick Herrmann,https://www.transfermarkt.com/patrick-herrmann/profil/spieler/32711
0,Ibrahima Traoré,https://www.transfermarkt.com/ibrahima-traore/profil/spieler/47285
0,Lars Stindl,https://www.transfermarkt.com/lars-stindl/profil/spieler/48298
0,Raffael,https://www.transfermarkt.com/raffael/profil/spieler/19819
0,Alassane Plea,https://www.transfermarkt.com/alassane-plea/profil/spieler/167329
0,Marcus Thuram,https://www.transfermarkt.com/marcus-thuram/profil/spieler/318528
0,Breel Embolo,https://www.transfermarkt.com/breel-embolo/profil/spieler/237662
0,Alexander Nübel,https://www.transfermarkt.com/alexander-nubel/profil/spieler/195778
0,Markus Schubert,https://www.transfermarkt.com/markus-schubert/profil/spieler/296741
0,Michael Langer,https://www.transfermarkt.com/michael-langer/profil/spieler/19114
0,Ozan Kabak,https://www.transfermarkt.com/ozan-kabak/profil/spieler/361260
0,Matija Nastasic,https://www.transfermarkt.com/matija-nastasic/profil/spieler/143559
0,Benjamin Stambouli,https://www.transfermarkt.com/benjamin-stambouli/profil/spieler/127160
0,Salif Sané,https://www.transfermarkt.com/salif-sane/profil/spieler/126534
0,Jean-Clair Todibo,https://www.transfermarkt.com/jean-clair-todibo/profil/spieler/605184
0,Timo Becker,https://www.transfermarkt.com/timo-becker/profil/spieler/282349
0,Juan Miranda,https://www.transfermarkt.com/juan-miranda/profil/spieler/341227
0,Bastian Oczipka,https://www.transfermarkt.com/bastian-oczipka/profil/spieler/53437
0,Jonjoe Kenny,https://www.transfermarkt.com/jonjoe-kenny/profil/spieler/258883
0,Omar Mascarell,https://www.transfermarkt.com/omar-mascarell/profil/spieler/142031
0,Weston McKennie,https://www.transfermarkt.com/weston-mckennie/profil/spieler/332697
0,Suat Serdar,https://www.transfermarkt.com/suat-serdar/profil/spieler/261905
0,Nassim Boujellab,https://www.transfermarkt.com/nassim-boujellab/profil/spieler/346332
0,Levent Mercan,https://www.transfermarkt.com/levent-mercan/profil/spieler/388820
0,Daniel Caligiuri,https://www.transfermarkt.com/daniel-caligiuri/profil/spieler/38410
0,Alessandro Schöpf,https://www.transfermarkt.com/alessandro-schopf/profil/spieler/118397
0,Amine Harit,https://www.transfermarkt.com/amine-harit/profil/spieler/372711
0,Benito Raman,https://www.transfermarkt.com/benito-raman/profil/spieler/112930
0,Rabbi Matondo,https://www.transfermarkt.com/rabbi-matondo/profil/spieler/404384
0,Michael Gregoritsch,https://www.transfermarkt.com/michael-gregoritsch/profil/spieler/120205
0,Ahmed Kutucu,https://www.transfermarkt.com/ahmed-kutucu/profil/spieler/452084
0,Guido Burgstaller,https://www.transfermarkt.com/guido-burgstaller/profil/spieler/49239
0,Oliver Baumann,https://www.transfermarkt.com/oliver-baumann/profil/spieler/55089
0,Michael Esser,https://www.transfermarkt.com/michael-esser/profil/spieler/61989
0,Philipp Pentke,https://www.transfermarkt.com/philipp-pentke/profil/spieler/8246
0,Alexander Stolz,https://www.transfermarkt.com/alexander-stolz/profil/spieler/10329
0,Stefan Posch,https://www.transfermarkt.com/stefan-posch/profil/spieler/223974
0,Benjamin Hübner,https://www.transfermarkt.com/benjamin-hubner/profil/spieler/52348
0,Kevin Akpoguma,https://www.transfermarkt.com/kevin-akpoguma/profil/spieler/160241
0,Ermin Bicakcic,https://www.transfermarkt.com/ermin-bicakcic/profil/spieler/51676
0,Lucas Ribeiro,https://www.transfermarkt.com/lucas-ribeiro/profil/spieler/605893
0,Konstantinos Stafylidis,https://www.transfermarkt.com/konstantinos-stafylidis/profil/spieler/148967
0,Pavel Kaderabek,https://www.transfermarkt.com/pavel-kaderabek/profil/spieler/143798
0,Diadie Samassékou,https://www.transfermarkt.com/diadie-samassekou/profil/spieler/315604
0,Sebastian Rudy,https://www.transfermarkt.com/sebastian-rudy/profil/spieler/57051
0,Havard Nordtveit,https://www.transfermarkt.com/havard-nordtveit/profil/spieler/42234
0,Florian Grillitsch,https://www.transfermarkt.com/florian-grillitsch/profil/spieler/195736
0,Dennis Geiger,https://www.transfermarkt.com/dennis-geiger/profil/spieler/251309
0,Ilay Elmkies,https://www.transfermarkt.com/ilay-elmkies/profil/spieler/443752
0,Steven Zuber,https://www.transfermarkt.com/steven-zuber/profil/spieler/68033
0,Christoph Baumgartner,https://www.transfermarkt.com/christoph-baumgartner/profil/spieler/324278
0,Jacob Bruun Larsen,https://www.transfermarkt.com/jacob-bruun-larsen/profil/spieler/293281
0,Sargis Adamyan,https://www.transfermarkt.com/sargis-adamyan/profil/spieler/125614
0,Robert Skov,https://www.transfermarkt.com/robert-skov/profil/spieler/270393
0,Ihlas Bebou,https://www.transfermarkt.com/ihlas-bebou/profil/spieler/237164
0,Andrej Kramaric,https://www.transfermarkt.com/andrej-kramaric/profil/spieler/46580
0,Ishak Belfodil,https://www.transfermarkt.com/ishak-belfodil/profil/spieler/111039
0,Munas Dabbur,https://www.transfermarkt.com/munas-dabbur/profil/spieler/145866
0,Maximilian Beier,https://www.transfermarkt.com/maximilian-beier/profil/spieler/578392
0,Rune Jarstein,https://www.transfermarkt.com/rune-jarstein/profil/spieler/24112
0,Thomas Kraft,https://www.transfermarkt.com/thomas-kraft/profil/spieler/39732
0,Dennis Smarsch,https://www.transfermarkt.com/dennis-smarsch/profil/spieler/342966
0,Niklas Stark,https://www.transfermarkt.com/niklas-stark/profil/spieler/162434
