,Name,Reason,Start Date,End Date
0,L. Messi,Hamstring,25/09/19,01/10/19
1,L. Messi,Calf Muscle Strain,05/08/19,16/09/19
2,L. Messi,Broken Arm,21/10/18,10/11/18
3,L. Messi,Suspended,20/03/17,03/04/17
4,L. Messi,Virus,19/11/16,22/11/16
5,L. Messi,Thigh Muscle Strain,22/09/16,12/10/16
6,L. Messi,Renal Colic,08/02/16,12/02/16
7,L. Messi,Renal Colic,16/12/15,19/12/15
8,L. Messi,Knee Injury,27/09/15,20/11/15
9,L. Messi,Hamstring,11/11/13,06/01/14
10,L. Messi,Thigh Muscle Strain,29/09/13,18/10/13
11,L. Messi,Hamstring,22/08/13,27/08/13
12,L. Messi,Thigh Muscle Strain,12/05/13,01/06/13
13,L. Messi,Calf Muscle Strain,04/04/13,09/04/13
0,Cristiano Ronaldo,Ankle/Foot Injury,07/05/18,18/05/18
1,Cristiano Ronaldo,Suspended,14/08/17,18/09/17
2,Cristiano Ronaldo,Knock,02/03/17,06/03/17
3,Cristiano Ronaldo,Virus,17/09/16,20/09/16
4,Cristiano Ronaldo,Knee Injury,11/07/16,08/09/16
5,Cristiano Ronaldo,Thigh Muscle Strain,27/04/16,02/05/16
6,Cristiano Ronaldo,Suspended,25/01/15,05/02/15
7,Cristiano Ronaldo,Knock,29/08/14,10/09/14
8,Cristiano Ronaldo,Knock,08/05/14,15/05/14
9,Cristiano Ronaldo,Knee Injury,09/04/14,21/04/14
10,Cristiano Ronaldo,Knee Injury,03/04/14,07/04/14
11,Cristiano Ronaldo,Suspended,03/02/14,23/02/14
12,Cristiano Ronaldo,Hamstring,24/11/13,09/12/13
13,Cristiano Ronaldo,Back Injury,30/05/13,05/06/13
14,Cristiano Ronaldo,Hamstring,25/04/13,29/04/13
15,Cristiano Ronaldo,Suspended,07/01/13,13/01/13
0,Neymar Jr,Hip/Thigh Injury,02/02/20,10/02/20
1,Neymar Jr,Groin/Pelvis Injury,11/10/19,20/11/19
2,Neymar Jr,Ankle/Foot Injury,01/08/19,23/08/19
3,Neymar Jr,Suspended,15/05/19,27/05/19
4,Neymar Jr,Ankle/Foot Injury,24/01/19,20/04/19
5,Neymar Jr,Groin Strain,03/12/18,02/01/19
6,Neymar Jr,Groin Strain,21/11/18,27/11/18
7,Neymar Jr,Broken Toe,26/02/18,20/05/18
8,Neymar Jr,Thigh Muscle Strain,20/01/18,25/01/18
9,Neymar Jr,Rib Injury,11/01/18,16/01/18
10,Neymar Jr,Suspended,05/12/17,11/12/17
11,Neymar Jr,Thigh Muscle Strain,03/11/17,15/11/17
12,Neymar Jr,Suspended,23/10/17,28/10/17
13,Neymar Jr,Ankle/Foot Injury,21/09/17,25/09/17
14,Neymar Jr,Suspended,09/04/17,27/04/17
15,Neymar Jr,Suspended,04/12/16,11/12/16
16,Neymar Jr,Suspended,04/03/16,07/03/16
17,Neymar Jr,Hamstring,21/01/16,26/01/16
18,Neymar Jr,Hamstring,08/12/15,16/12/15
19,Neymar Jr,Virus,09/08/15,26/08/15
20,Neymar Jr,Suspended,01/03/15,09/03/15
21,Neymar Jr,Sprained Ankle,22/08/14,29/08/14
22,Neymar Jr,Vertebral Fracture,05/07/14,05/08/14
23,Neymar Jr,Ankle/Foot Injury,17/04/14,10/05/14
24,Neymar Jr,Sprained Ankle,17/01/14,14/02/14
25,Neymar Jr,Suspended,15/12/13,23/12/13
0,J. Oblak,Hamstring,17/05/19,31/05/19
1,J. Oblak,Shoulder Injury,13/12/16,20/02/17
0,E. Hazard,Ankle/Foot Injury,27/11/19,30/01/20
1,E. Hazard,Hamstring,16/08/19,11/09/19
2,E. Hazard,Knock,20/04/19,21/04/19
3,E. Hazard,Ankle/Foot Injury,25/11/18,01/12/18
4,E. Hazard,Back Injury,21/10/18,03/11/18
5,E. Hazard,Calf/Shin Injury,24/06/18,27/06/18
6,E. Hazard,Knock,12/11/17,17/11/17
7,E. Hazard,Ankle Fracture,05/06/17,24/08/17
8,E. Hazard,Calf Muscle Strain,17/03/17,31/03/17
9,E. Hazard,Knock,26/02/17,05/03/17
10,E. Hazard,Knee Injury,18/12/16,25/12/16
11,E. Hazard,Knee Injury,12/12/16,16/12/16
12,E. Hazard,Calf/Shin Injury,14/11/16,19/11/16
13,E. Hazard,Thigh Muscle Strain,10/03/16,20/04/16
14,E. Hazard,Groin Strain,04/01/16,21/01/16
15,E. Hazard,Hip/Thigh Injury,15/12/15,25/12/15
16,E. Hazard,Illness,16/11/15,20/11/15
17,E. Hazard,Calf Muscle Strain,09/04/14,29/04/14
18,E. Hazard,Ankle/Foot Injury,29/09/13,03/10/13
19,E. Hazard,Calf/Shin Injury,03/09/13,13/09/13
20,E. Hazard,Hamstring,12/05/13,02/06/13
21,E. Hazard,Calf Muscle Strain,03/05/13,06/05/13
22,E. Hazard,Suspended,24/01/13,03/02/13
23,E. Hazard,Suspended,24/01/13,28/01/13
0,K. De Bruyne,Groin Strain,29/09/19,14/10/19
1,K. De Bruyne,Knee Injury,21/04/19,11/05/19
2,K. De Bruyne,Hamstring,03/03/19,29/03/19
3,K. De Bruyne,Knock,27/12/18,02/01/19
4,K. De Bruyne,Knee Injury,02/11/18,14/12/18
5,K. De Bruyne,Knee Injury,15/08/18,19/10/18
6,K. De Bruyne,Calf/Shin Injury,24/10/16,28/10/16
7,K. De Bruyne,Hamstring,25/09/16,14/10/16
8,K. De Bruyne,LCL Knee Ligament Injury,28/01/16,29/03/16
0,M. ter Stegen,Knee Injury,22/12/19,15/01/20
1,M. ter Stegen,Knee Injury,16/05/19,29/05/19
2,M. ter Stegen,Hamstring,10/09/16,12/09/16
3,M. ter Stegen,Knee Injury,11/08/16,24/08/16
4,M. ter Stegen,Back Injury,11/08/14,03/09/14
0,V. van Dijk,Illness,17/12/19,20/12/19
1,V. van Dijk,Ankle/Foot Injury,01/04/19,04/04/19
2,V. van Dijk,Illness,20/01/19,29/01/19
3,V. van Dijk,Illness,05/01/19,11/01/19
4,V. van Dijk,Rib Fracture,14/10/18,19/10/18
5,V. van Dijk,Knock,23/09/18,28/09/18
6,V. van Dijk,Hamstring,07/01/18,21/01/18
7,V. van Dijk,Knock,04/09/17,10/09/17
8,V. van Dijk,Ankle/Foot Injury,23/01/17,25/08/17
9,V. van Dijk,Suspended,01/01/17,03/01/17
10,V. van Dijk,Knee Injury,14/11/15,20/11/15
11,V. van Dijk,Suspended,21/04/13,28/04/13
12,V. van Dijk,Suspended,08/04/13,14/04/13
0,L. Modrić,Knock,14/10/19,29/10/19
1,L. Modrić,Hamstring,13/09/19,27/09/19
2,L. Modrić,Suspended,18/08/19,25/08/19
3,L. Modrić,Suspended,10/02/19,18/02/19
4,L. Modrić,Hamstring,19/02/18,06/03/18
5,L. Modrić,Hamstring,22/01/17,10/02/17
6,L. Modrić,Knee Injury,01/10/16,04/11/16
7,L. Modrić,Suspended,15/05/16,22/08/16
8,L. Modrić,Thigh Muscle Strain,18/06/16,23/06/16
9,L. Modrić,Ankle/Foot Injury,28/02/16,07/03/16
10,L. Modrić,Thigh Muscle Strain,14/10/15,20/10/15
11,L. Modrić,Knee Injury,23/04/15,25/06/15
12,L. Modrić,Thigh Muscle Strain,17/11/14,09/03/15
13,L. Modrić,Calf/Shin Injury,02/05/14,06/05/14
14,L. Modrić,Suspended,17/02/14,23/02/14
15,L. Modrić,Suspended,10/02/13,18/02/13
16,L. Modrić,Appendicitis,02/02/11,14/02/11
17,L. Modrić,Hamstring,19/08/10,07/09/10
0,M. Salah,Ankle/Foot Injury,11/11/19,22/11/19
1,M. Salah,Ankle/Foot Injury,06/10/19,22/10/19
2,M. Salah,Head Injury,05/05/19,11/05/19
3,M. Salah,Hamstring,13/10/18,19/10/18
4,M. Salah,Shoulder Injury,27/05/18,04/06/18
5,M. Salah,Groin/Pelvis Injury,05/04/18,09/04/18
6,M. Salah,Groin Strain,31/12/17,13/01/18
7,M. Salah,Knee Injury,31/12/17,12/01/18
0,K. Mbappé,Groin Strain,07/11/19,12/11/19
1,K. Mbappé,Thigh Muscle Strain,02/10/19,18/10/19
2,K. Mbappé,Thigh Muscle Strain,26/08/19,27/09/19
3,K. Mbappé,Suspended,29/04/19,13/05/19
4,K. Mbappé,Shoulder Injury,21/11/18,27/11/18
5,K. Mbappé,Suspended,06/09/18,28/09/18
6,K. Mbappé,Ankle/Foot Injury,01/03/18,06/03/18
7,K. Mbappé,Suspended,16/02/18,19/02/18
8,K. Mbappé,Suspended,01/02/18,04/02/18
9,K. Mbappé,Neck Injury,23/01/18,28/01/18
10,K. Mbappé,Concussion,16/08/16,17/09/16
11,K. Mbappé,Knock,25/01/16,09/02/16
0,K. Koulibaly,Suspended,29/03/14,29/03/14
1,K. Koulibaly,Suspended,29/03/13,07/04/13
2,K. Koulibaly,Suspended,02/11/12,05/11/12
0,H. Kane,Hamstring,02/01/20,26/04/20
1,H. Kane,Ankle/Foot Injury,10/04/19,31/05/19
2,H. Kane,Ankle/Foot Injury,14/01/19,22/02/19
3,H. Kane,Back Injury,04/07/18,06/07/18
4,H. Kane,Ankle/Foot Injury,12/03/18,31/03/18
5,H. Kane,Knock,15/02/18,17/02/18
6,H. Kane,Knee Injury,06/11/17,18/11/17
7,H. Kane,Hamstring,23/10/17,31/10/17
8,H. Kane,Ankle/Foot Injury,13/03/17,07/04/17
9,H. Kane,Knock,27/02/17,04/03/17
10,H. Kane,Groin Strain,22/01/17,30/01/17
11,H. Kane,Illness,29/12/17,02/01/17
12,H. Kane,Ankle/Foot Injury,13/11/16,18/11/16
13,H. Kane,Ankle Ligaments,19/09/16,04/11/16
14,H. Kane,Broken Nose,22/02/16,27/02/16
15,H. Kane,Knock,20/12/15,25/12/15
16,H. Kane,Back Injury,12/11/13,31/12/13
17,H. Kane,Ankle/Foot Injury,27/09/12,21/12/12
0,Alisson,Suspended,01/12/19,05/12/19
1,Alisson,Calf Muscle Strain,10/08/19,15/10/19
0,De Gea,Groin Strain,16/10/19,19/10/19
1,De Gea,Knee Injury,19/02/16,26/02/16
2,De Gea,Hamstring,18/05/15,01/06/15
3,De Gea,Hip/Thigh Injury,15/06/14,18/06/14
4,De Gea,Wisdom Teeth,14/11/12,23/11/12
0,N. Kanté,Groin/Pelvis Injury,18/02/20,09/03/20
1,N. Kanté,Hamstring,02/01/20,17/01/20
2,N. Kanté,Groin/Pelvis Injury,18/10/19,04/11/19
3,N. Kanté,Knock,12/10/19,13/10/19
4,N. Kanté,Hamstring,27/09/19,01/10/19
5,N. Kanté,Ankle/Foot Injury,19/08/19,21/09/19
6,N. Kanté,Knock,12/08/19,14/08/19
7,N. Kanté,Rib Injury,06/05/19,31/05/19
8,N. Kanté,Back Injury,23/04/19,27/04/19
9,N. Kanté,Illness,03/03/18,09/03/18
10,N. Kanté,Hamstring,08/10/17,04/11/17
11,N. Kanté,Thigh Muscle Strain,01/05/17,12/05/17
12,N. Kanté,Suspended,18/12/16,27/12/16
13,N. Kanté,Suspended,27/06/16,04/07/16
14,N. Kanté,Hamstring,28/02/16,04/03/16
15,N. Kanté,Suspended,31/08/14,15/09/14
0,G. Chiellini,Hamstring,19/06/12,27/06/12
0,S. Agüero,Thigh Muscle Strain,24/11/19,21/12/19
1,S. Agüero,Knock,31/03/19,09/04/19
2,S. Agüero,Illness,04/01/19,13/01/19
3,S. Agüero,Groin/Pelvis Injury,30/11/18,14/12/18
4,S. Agüero,Ankle/Foot Injury,16/09/18,18/09/18
5,S. Agüero,Knee Injury,11/04/18,14/05/18
6,S. Agüero,Knee Injury,11/03/18,06/04/18
7,S. Agüero,Illness,14/11/17,17/11/17
8,S. Agüero,Rib Injury,28/09/17,13/10/17
9,S. Agüero,Groin Strain,01/05/17,12/05/17
10,S. Agüero,Knock,24/04/17,26/04/17
11,S. Agüero,Knock,22/01/17,31/01/17
12,S. Agüero,Suspended,04/12/16,27/12/16
13,S. Agüero,Ankle/Foot Injury,24/11/16,25/11/16
14,S. Agüero,Suspended,29/08/16,18/09/16
15,S. Agüero,Heel Injury,30/11/15,19/12/15
16,S. Agüero,Hamstring,10/10/15,20/11/15
17,S. Agüero,LCL Knee Ligament Injury,07/12/14,08/01/15
18,S. Agüero,Hamstring,26/06/14,06/07/14
19,S. Agüero,Groin Strain,04/05/14,08/05/14
20,S. Agüero,Hamstring,13/03/14,10/04/14
21,S. Agüero,Hamstring,30/01/14,01/03/14
22,S. Agüero,Calf Muscle Strain,15/12/13,14/01/14
23,S. Agüero,Knock,23/09/13,01/10/13
24,S. Agüero,Knee Injury,03/03/13,29/03/13
25,S. Agüero,Hamstring,02/01/13,18/01/13
26,S. Agüero,Knee Injury,20/08/12,17/09/12
27,S. Agüero,Ankle/Foot Injury,24/03/12,05/04/12
0,Sergio Ramos,Ankle/Foot Injury,16/01/20,24/01/20
1,Sergio Ramos,Suspended,23/12/19,05/01/20
2,Sergio Ramos,Calf Muscle Strain,12/04/19,30/05/19
3,Sergio Ramos,Suspended,03/03/19,11/03/19
4,Sergio Ramos,Suspended,18/02/19,25/02/19
5,Sergio Ramos,Knock,30/03/18,02/04/18
6,Sergio Ramos,Suspended,22/02/18,25/02/18
7,Sergio Ramos,Calf Muscle Strain,25/01/18,02/02/18
8,Sergio Ramos,Calf Muscle Strain,05/01/18,23/01/18
9,Sergio Ramos,Suspended,03/12/17,10/12/17
10,Sergio Ramos,Nose Injury,22/11/17,30/11/17
11,Sergio Ramos,Suspended,21/08/17,28/08/17
12,Sergio Ramos,Suspended,24/04/17,27/04/17
13,Sergio Ramos,Hip/Thigh Injury,16/02/17,20/02/17
14,Sergio Ramos,Suspended,11/12/16,08/01/17
15,Sergio Ramos,Illness,13/12/16,14/12/16
16,Sergio Ramos,Knee Injury,10/10/16,18/11/16
17,Sergio Ramos,Suspended,03/04/16,10/04/16
18,Sergio Ramos,Suspended,14/03/16,21/03/16
19,Sergio Ramos,Suspended,28/02/16,03/03/16
20,Sergio Ramos,Calf Muscle Strain,15/01/16,30/01/16
21,Sergio Ramos,Calf Muscle Strain,21/12/15,02/01/16
22,Sergio Ramos,Shoulder Injury,24/11/15,10/12/15
23,Sergio Ramos,Shoulder Injury,26/10/15,01/11/15
24,Sergio Ramos,Shoulder Injury,16/09/15,03/10/15
25,Sergio Ramos,Calf Muscle Strain,14/05/15,09/06/15
26,Sergio Ramos,Suspended,27/04/15,30/04/15
27,Sergio Ramos,Hamstring,05/02/15,14/03/15
28,Sergio Ramos,Suspended,07/12/14,13/12/14
29,Sergio Ramos,Calf Muscle Strain,07/10/14,23/10/14
30,Sergio Ramos,Suspended,24/03/14,27/03/14
31,Sergio Ramos,Suspended,10/03/14,16/03/14
32,Sergio Ramos,Suspended,03/11/13,10/11/13
33,Sergio Ramos,Hamstring,22/05/13,30/05/13
34,Sergio Ramos,Hamstring,01/05/13,15/05/13
35,Sergio Ramos,Suspended,18/02/13,24/02/13
36,Sergio Ramos,Suspended,10/01/13,01/02/13
37,Sergio Ramos,Suspended,10/01/13,21/01/13
38,Sergio Ramos,Suspended,23/12/12,07/01/13
0,L. Suárez,Knee Injury,11/01/20,13/05/20
1,L. Suárez,Calf Muscle Strain,03/11/19,07/11/19
2,L. Suárez,Calf Muscle Strain,17/08/19,13/09/19
3,L. Suárez,Cartilage Knee Injury,09/05/19,03/06/19
4,L. Suárez,Suspended,07/04/19,14/04/19
5,L. Suárez,Ankle/Foot Injury,18/03/19,29/03/19
6,L. Suárez,Knee Injury,27/11/18,07/12/18
7,L. Suárez,Suspended,11/03/18,19/03/18
8,L. Suárez,Knee Injury,17/08/17,30/08/17
9,L. Suárez,Suspended,08/02/17,27/05/17
10,L. Suárez,Suspended,07/11/16,20/11/16
11,L. Suárez,Suspended,03/04/16,10/04/16
12,L. Suárez,Suspended,07/01/16,21/01/16
13,L. Suárez,Hamstring,13/05/15,20/05/15
14,L. Suárez,Suspended,28/06/14,24/10/14
15,L. Suárez,Suspended,25/06/14,29/06/14
16,L. Suárez,Knee Injury,22/05/14,14/06/14
17,L. Suárez,Suspended,22/04/13,22/09/13
18,L. Suárez,Suspended,02/12/12,10/12/12
19,L. Suárez,Suspended,03/01/12,01/02/12
20,L. Suárez,Suspended,29/12/11,31/12/11
21,L. Suárez,Suspended,03/07/10,07/07/10
0,R. Lewandowski,Hip/Thigh Injury,23/12/19,18/01/20
1,R. Lewandowski,Foot Injury,10/05/19,10/05/19
2,R. Lewandowski,Knock,19/11/18,24/11/18
0,Sergio Busquets,Suspended,24/11/19,02/12/19
1,Sergio Busquets,Suspended,28/04/19,05/05/19
2,Sergio Busquets,Suspended,28/01/19,03/02/19
3,Sergio Busquets,Knock,16/04/18,20/04/18
4,Sergio Busquets,Toe Injury,15/03/18,03/04/18
5,Sergio Busquets,Suspended,24/12/17,08/01/18
6,Sergio Busquets,Suspended,12/02/17,20/02/17
7,Sergio Busquets,Ankle Ligaments,18/01/17,21/01/17
8,Sergio Busquets,Suspended,18/02/16,21/02/16
9,Sergio Busquets,Suspended,06/04/15,09/04/15
10,Sergio Busquets,Sprained Ankle,05/03/15,21/03/15
11,Sergio Busquets,Suspended,13/04/14,21/04/14
12,Sergio Busquets,Suspended,23/12/13,06/01/14
13,Sergio Busquets,Suspended,12/11/12,18/11/12
0,A. Griezmann,Suspended,14/04/19,21/04/19
1,A. Griezmann,Suspended,19/03/18,02/04/18
2,A. Griezmann,Hamstring,06/12/17,14/12/17
3,A. Griezmann,Suspended,20/08/17,10/09/17
4,A. Griezmann,Suspended,15/05/16,22/08/16
5,A. Griezmann,Suspended,02/03/15,09/03/15
6,A. Griezmann,Suspended,14/04/14,20/04/14
7,A. Griezmann,Suspended,22/04/13,29/04/13
8,A. Griezmann,Hamstring,04/11/12,14/11/12
0,P. Pogba,Foot Injury,28/12/19,07/03/20
1,P. Pogba,Foot Injury,02/10/19,21/12/19
2,P. Pogba,Ankle/Foot Injury,26/09/19,29/09/19
3,P. Pogba,Ankle/Foot Injury,01/09/19,26/09/19
4,P. Pogba,Back Injury,02/08/19,10/08/19
5,P. Pogba,Knock,30/01/19,02/02/19
6,P. Pogba,Thigh Muscle Strain,04/01/19,12/01/19
7,P. Pogba,Knock,07/11/18,23/11/18
8,P. Pogba,Thigh Muscle Strain,09/03/18,12/03/18
9,P. Pogba,Illness,16/02/18,21/02/18
10,P. Pogba,Suspended,03/12/17,18/12/17
11,P. Pogba,Hamstring,13/09/17,17/11/17
12,P. Pogba,Knock,24/04/17,29/04/17
13,P. Pogba,Hamstring,18/03/17,04/04/17
14,P. Pogba,Suspended,28/11/16,02/12/16
15,P. Pogba,Knock,04/11/16,05/11/16
16,P. Pogba,Suspended,13/08/16,15/08/16
17,P. Pogba,Ankle/Foot Injury,17/04/12,20/05/12
0,Ederson,Illness,31/12/19,07/01/20
1,Ederson,Suspended,28/12/19,30/12/19
2,Ederson,Illness,08/12/19,14/12/19
3,Ederson,Knock,07/11/19,22/11/19
4,Ederson,Facial Injury,10/09/17,12/09/17
0,R. Sterling,Thigh Muscle Strain,03/02/20,-
1,R. Sterling,Back Injury,02/09/18,14/09/18
2,R. Sterling,Knock,15/02/18,11/03/18
3,R. Sterling,Back Injury,06/11/17,17/11/17
4,R. Sterling,Suspended,27/08/17,10/09/17
5,R. Sterling,Knee Injury,27/11/16,09/12/16
6,R. Sterling,Calf Muscle Strain,03/10/16,14/10/16
7,R. Sterling,Groin Strain,27/03/16,17/04/16
8,R. Sterling,Ankle/Foot Injury,08/02/15,17/02/15
9,R. Sterling,Hip/Thigh Injury,03/04/13,12/07/13
0,C. Eriksen,Thigh Muscle Strain,16/10/19,21/10/19
1,C. Eriksen,Abdominal Strain,23/09/18,19/10/18
2,C. Eriksen,Illness,19/01/18,30/01/18
3,C. Eriksen,Illness,24/09/17,29/09/17
4,C. Eriksen,Hip/Thigh Injury,12/11/16,18/11/16
5,C. Eriksen,Knock,15/03/16,19/03/16
6,C. Eriksen,Knee Injury,21/08/15,19/09/15
7,C. Eriksen,Back Injury,27/02/14,11/03/14
8,C. Eriksen,Ankle/Foot Injury,16/11/13,11/12/13
0,T. Courtois,Virus,02/10/19,08/10/19
1,T. Courtois,Knock,30/03/19,24/04/19
2,T. Courtois,Hip/Thigh Injury,09/01/19,18/01/19
3,T. Courtois,Back Injury,07/05/18,12/05/18
4,T. Courtois,Hamstring,25/03/18,07/04/18
5,T. Courtois,Back Injury,19/01/18,30/01/18
6,T. Courtois,Ankle/Foot Injury,01/05/17,07/05/17
7,T. Courtois,Illness,10/05/16,14/05/16
8,T. Courtois,Suspended,17/04/16,03/05/16
9,T. Courtois,Knee Injury,09/09/15,03/12/15
10,T. Courtois,Suspended,09/08/15,17/08/15
11,T. Courtois,Knock,09/12/14,20/12/14
0,Piqué,Suspended,03/02/20,10/02/20
1,Piqué,Suspended,07/10/19,20/10/19
2,Piqué,Suspended,07/04/19,14/04/19
3,Piqué,Suspended,19/11/17,27/11/17
4,Piqué,Virus,12/05/17,18/05/17
5,Piqué,Suspended,06/04/17,09/04/17
6,Piqué,Hamstring,10/02/17,13/02/17
7,Piqué,Ankle/Foot Injury,20/10/16,10/11/16
8,Piqué,Suspended,18/04/16,21/04/16
9,Piqué,Suspended,18/01/16,24/01/16
10,Piqué,Suspended,18/08/15,21/09/15
11,Piqué,Suspended,22/02/15,01/03/15
12,Piqué,Suspended,18/05/14,25/08/14
13,Piqué,Thigh Muscle Strain,22/06/14,23/06/14
14,Piqué,Groin Strain,02/04/14,10/05/14
15,Piqué,Calf Muscle Strain,24/02/14,06/03/14
16,Piqué,Pubalgia,08/11/13,20/11/13
17,Piqué,Suspended,20/01/13,28/01/13
18,Piqué,Ankle/Foot Injury,20/09/12,05/11/12
0,M. Neuer,Virus,11/02/20,15/02/20
1,M. Neuer,Calf Muscle Strain,15/04/19,25/05/19
2,M. Neuer,Calf/Shin Injury,30/03/19,05/04/19
3,M. Neuer,Hand Injury,01/02/19,06/02/19
0,H. Lloris,Arm/Elbow injury,06/10/19,21/01/20
1,H. Lloris,Knock,19/04/19,22/04/19
2,H. Lloris,Thigh Muscle Strain,29/08/18,02/10/18
3,H. Lloris,Illness,17/01/18,30/01/18
4,H. Lloris,Hip Labrum Tear,03/11/17,17/11/17
5,H. Lloris,Knee Injury,20/05/17,20/05/17
6,H. Lloris,Illness,05/04/17,07/04/17
7,H. Lloris,Illness,30/01/17,03/02/17
8,H. Lloris,Hamstring,14/08/16,06/09/16
9,H. Lloris,Shoulder Injury,15/02/16,24/02/16
10,H. Lloris,Knee Injury,22/03/15,24/04/15
11,H. Lloris,Knock,19/02/14,22/02/14
12,H. Lloris,Concussion,04/11/13,11/11/13
0,David Silva,Knock,08/12/19,31/12/19
1,David Silva,Overtired,24/11/19,25/11/19
2,David Silva,Thigh Muscle Strain,03/11/19,09/11/19
3,David Silva,Hamstring,09/12/18,25/12/18
4,David Silva,Knock,03/08/18,18/08/18
5,David Silva,Abdominal Strain,01/02/18,13/02/18
6,David Silva,Hamstring,24/04/17,05/05/17
7,David Silva,Knock,15/09/16,23/09/16
8,David Silva,Hamstring,27/04/16,16/05/16
9,David Silva,Ankle/Foot Injury,13/04/16,21/04/16
10,David Silva,Ankle/Foot Injury,06/04/16,11/04/16
11,David Silva,Knock,07/01/16,12/01/16
12,David Silva,Ankle/Foot Injury,10/10/15,26/11/15
13,David Silva,Calf/Shin Injury,18/09/15,29/09/15
14,David Silva,Ankle/Foot Injury,09/09/15,14/09/15
15,David Silva,Knee Injury,30/10/14,11/12/14
16,David Silva,Ankle/Foot Injury,22/04/14,03/05/14
17,David Silva,Ankle/Foot Injury,14/04/14,20/04/14
18,David Silva,Hamstring,23/01/14,28/01/14
19,David Silva,Knock,13/01/14,17/01/14
20,David Silva,Suspended,29/12/13,02/01/14
21,David Silva,Calf Muscle Strain,07/11/13,09/12/13
22,David Silva,Hip/Thigh Injury,09/09/13,01/10/13
23,David Silva,Hamstring,09/04/13,25/04/13
24,David Silva,Hamstring,03/12/12,07/12/12
25,David Silva,Hamstring,17/10/12,10/11/12
26,David Silva,Knee Injury,01/01/11,12/01/11
0,E. Cavani,Groin Strain,13/01/20,20/01/20
1,E. Cavani,Thigh Muscle Strain,12/12/19,03/01/20
2,E. Cavani,Calf Muscle Strain,06/12/19,10/12/19
3,E. Cavani,Hip/Thigh Injury,26/08/19,15/10/19
4,E. Cavani,Hip/Thigh Injury,10/02/19,20/04/19
5,E. Cavani,Thigh Muscle Strain,26/10/18,01/11/18
6,E. Cavani,Calf/Shin Injury,01/08/18,21/08/18
7,E. Cavani,Calf/Shin Injury,01/07/18,07/07/18
8,E. Cavani,Thigh Muscle Strain,11/05/18,20/05/18
9,E. Cavani,Suspended,08/03/18,12/03/18
10,E. Cavani,Hip/Thigh Injury,09/02/18,12/02/18
11,E. Cavani,Calf/Shin Injury,09/05/16,13/05/16
12,E. Cavani,Knock,17/12/15,29/12/15
13,E. Cavani,Suspended,18/10/14,27/10/14
14,E. Cavani,Knee Injury,09/05/14,15/05/14
15,E. Cavani,Thigh Muscle Strain,01/02/14,28/02/14
16,E. Cavani,Thigh Muscle Strain,04/11/13,08/11/13
0,D. Godín,Hamstring,11/04/19,18/04/19
1,D. Godín,Suspended,04/03/19,10/03/19
2,D. Godín,Hamstring,28/01/19,07/02/19
3,D. Godín,Hamstring,11/11/18,10/12/18
4,D. Godín,Knock,01/11/18,09/11/18
5,D. Godín,Facial Injury,05/02/18,15/02/18
6,D. Godín,Suspended,14/01/18,21/01/18
7,D. Godín,Suspended,07/05/17,20/08/17
8,D. Godín,Suspended,26/04/17,30/04/17
9,D. Godín,Suspended,03/03/17,06/03/17
10,D. Godín,Hamstring,08/02/17,23/02/17
11,D. Godín,Hamstring,21/04/16,02/05/16
12,D. Godín,Hamstring,16/03/16,04/04/16
13,D. Godín,Knee Injury,31/01/16,12/02/16
14,D. Godín,Suspended,31/01/16,07/02/16
15,D. Godín,Suspended,03/05/15,11/05/15
16,D. Godín,Unknown,05/04/15,10/04/15
17,D. Godín,Suspended,22/01/15,29/01/15
18,D. Godín,Suspended,19/01/15,25/01/15
19,D. Godín,Suspended,05/05/14,12/05/14
20,D. Godín,Suspended,03/03/14,09/03/14
21,D. Godín,Suspended,27/05/13,02/06/13
22,D. Godín,Suspended,11/03/13,18/03/13
23,D. Godín,Suspended,01/02/13,28/02/13
24,D. Godín,Hip/Thigh Injury,27/06/10,05/07/10
0,T. Kroos,Hamstring,07/10/19,21/10/19
1,T. Kroos,Illness,14/04/19,20/04/19
2,T. Kroos,Hamstring,07/01/19,23/01/19
3,T. Kroos,Knee Injury,28/11/18,11/12/18
4,T. Kroos,Knee Injury,15/02/18,06/03/18
5,T. Kroos,Rib Injury,21/09/17,25/09/17
6,T. Kroos,Suspended,30/01/17,12/02/17
7,T. Kroos,Broken Toe,07/11/16,05/12/16
8,T. Kroos,Virus,03/03/16,07/03/16
9,T. Kroos,Suspended,09/04/15,12/04/15
0,M. Reus,Groin Strain,05/02/20,-
1,M. Reus,Hamstring,18/12/19,11/01/20
2,M. Reus,Ankle Ligaments,07/11/19,08/11/19
3,M. Reus,Suspended,28/04/19,12/05/19
4,M. Reus,Thigh Muscle Strain,06/02/19,01/03/19
5,M. Reus,Foot Injury,19/01/19,25/01/19
0,P. Aubameyang,Suspended,12/01/20,29/01/20
1,P. Aubameyang,Suspended,12/01/20,22/01/20
2,P. Aubameyang,Knock,03/01/20,10/01/20
3,P. Aubameyang,Nose Injury,22/04/19,27/04/19
4,P. Aubameyang,Illness,04/02/19,23/02/19
5,P. Aubameyang,Illness,02/10/18,06/10/18
6,P. Aubameyang,Illness,01/02/18,02/02/18
7,P. Aubameyang,Hip/Thigh Injury,29/11/12,04/12/12
8,P. Aubameyang,Hip/Thigh Injury,29/10/12,31/10/12
0,S. Mané,Hamstring,25/01/20,14/02/20
