,Name,Competitiion,Trophie,Season
0,L. Messi,World Cup,Runner-up,2014 Brazil
1,L. Messi,Copa America,Runner-up,2016  USA
2,L. Messi,Copa America,Runner-up,2015 Chile
3,L. Messi,Copa America,Runner-up,2007 Venezuela
4,L. Messi,La Liga,Winner,2018/2019
5,L. Messi,La Liga,Winner,2017/2018
6,L. Messi,La Liga,Winner,2015/2016
7,L. Messi,La Liga,Winner,2014/2015
8,L. Messi,La Liga,Winner,2012/2013
9,L. Messi,La Liga,Winner,2010/2011
10,L. Messi,La Liga,Winner,2009/2010
11,L. Messi,La Liga,Winner,2008/2009
12,L. Messi,La Liga,Winner,2005/2006
13,L. Messi,La Liga,Winner,2004/2005
14,L. Messi,La Liga,Runner-up,2016/2017
15,L. Messi,La Liga,Runner-up,2013/2014
16,L. Messi,La Liga,Runner-up,2011/2012
17,L. Messi,La Liga,Runner-up,2006/2007
18,L. Messi,Copa del Rey,Winner,2017/2018
19,L. Messi,Copa del Rey,Winner,2016/2017
20,L. Messi,Copa del Rey,Winner,2015/2016
21,L. Messi,Copa del Rey,Winner,2014/2015
22,L. Messi,Copa del Rey,Winner,2011/2012
23,L. Messi,Copa del Rey,Winner,2008/2009
24,L. Messi,Copa del Rey,Runner-up,2018/2019
25,L. Messi,Copa del Rey,Runner-up,2013/2014
26,L. Messi,Copa del Rey,Runner-up,2010/2011
27,L. Messi,Super Cup,Winner,2018/2019
28,L. Messi,Super Cup,Winner,2016/2017
29,L. Messi,Super Cup,Winner,2013/2014
30,L. Messi,Super Cup,Winner,2011/2012
31,L. Messi,Super Cup,Winner,2010/2011
32,L. Messi,Super Cup,Winner,2009/2010
33,L. Messi,Super Cup,Winner,2006/2007
34,L. Messi,Super Cup,Winner,2005/2006
35,L. Messi,Super Cup,Runner-up,2017/2018
36,L. Messi,Super Cup,Runner-up,2015/2016
37,L. Messi,Super Cup,Runner-up,2012/2013
38,L. Messi,Copa Catalunya,Winner,2013/2014
39,L. Messi,Supercopa de Catalunya,Winner,2018
40,L. Messi,Supercopa de Catalunya,Runner-up,2019
41,L. Messi,Supercopa de Catalunya,Runner-up,2016
42,L. Messi,Trofeo Joan Gamper,Winner,2019
43,L. Messi,Trofeo Joan Gamper,Winner,2018
44,L. Messi,Trofeo Joan Gamper,Winner,2017
45,L. Messi,Trofeo Joan Gamper,Winner,2016
46,L. Messi,UEFA Champions League,Winner,2014/2015
47,L. Messi,UEFA Champions League,Winner,2010/2011
48,L. Messi,UEFA Champions League,Winner,2008/2009
49,L. Messi,UEFA Champions League,Winner,2005/2006
50,L. Messi,UEFA Super Cup,Winner,2015/2016
51,L. Messi,UEFA Super Cup,Winner,2011/2012
52,L. Messi,UEFA Super Cup,Winner,2009/2010
53,L. Messi,UEFA Super Cup,Runner-up,2006/2007
54,L. Messi,FIFA Club World Cup,Winner,2015 Japan
55,L. Messi,FIFA Club World Cup,Winner,2011 Japan
56,L. Messi,FIFA Club World Cup,Winner,2009 UAE
57,L. Messi,FIFA Club World Cup,Runner-up,2006 Japan
58,L. Messi,Audi Cup,Winner,2011
0,Cristiano Ronaldo,La Liga,Winner,2016/2017
1,Cristiano Ronaldo,La Liga,Winner,2011/2012
2,Cristiano Ronaldo,La Liga,Runner-up,2015/2016
3,Cristiano Ronaldo,La Liga,Runner-up,2014/2015
4,Cristiano Ronaldo,La Liga,Runner-up,2012/2013
5,Cristiano Ronaldo,La Liga,Runner-up,2010/2011
6,Cristiano Ronaldo,La Liga,Runner-up,2009/2010
7,Cristiano Ronaldo,Premier League,Winner,2008/2009
8,Cristiano Ronaldo,Premier League,Winner,2007/2008
9,Cristiano Ronaldo,Premier League,Winner,2006/2007
10,Cristiano Ronaldo,Premier League,Runner-up,2005/2006
11,Cristiano Ronaldo,Serie A,Winner,2018/2019
12,Cristiano Ronaldo,FA Cup,Winner,2003/2004
13,Cristiano Ronaldo,FA Cup,Runner-up,2006/2007
14,Cristiano Ronaldo,FA Cup,Runner-up,2004/2005
15,Cristiano Ronaldo,Copa del Rey,Winner,2013/2014
16,Cristiano Ronaldo,Copa del Rey,Winner,2010/2011
17,Cristiano Ronaldo,Copa del Rey,Runner-up,2012/2013
18,Cristiano Ronaldo,League Cup,Winner,2008/2009
19,Cristiano Ronaldo,League Cup,Winner,2005/2006
20,Cristiano Ronaldo,League Cup,Runner-up,2002/2003
21,Cristiano Ronaldo,Super Cup,Winner,2018/2019
22,Cristiano Ronaldo,Super Cup,Runner-up,2019/2020
23,Cristiano Ronaldo,Community Shield,Winner,2008/2009
24,Cristiano Ronaldo,Community Shield,Winner,2007/2008
25,Cristiano Ronaldo,Community Shield,Winner,2003/2004
26,Cristiano Ronaldo,Community Shield,Runner-up,2004/2005
27,Cristiano Ronaldo,Super Cup,Winner,2002/2003
28,Cristiano Ronaldo,Super Cup,Winner,2017/2018
29,Cristiano Ronaldo,Super Cup,Winner,2012/2013
30,Cristiano Ronaldo,Super Cup,Runner-up,2014/2015
31,Cristiano Ronaldo,Super Cup,Runner-up,2011/2012
32,Cristiano Ronaldo,European Championship,Winner,2016 France
33,Cristiano Ronaldo,European Championship,Runner-up,2004 Portugal
34,Cristiano Ronaldo,UEFA Nations League,Winner,2018/2019
35,Cristiano Ronaldo,UEFA Champions League,Winner,2017/2018
36,Cristiano Ronaldo,UEFA Champions League,Winner,2016/2017
37,Cristiano Ronaldo,UEFA Champions League,Winner,2015/2016
38,Cristiano Ronaldo,UEFA Champions League,Winner,2013/2014
39,Cristiano Ronaldo,UEFA Champions League,Winner,2007/2008
40,Cristiano Ronaldo,UEFA Champions League,Runner-up,2008/2009
41,Cristiano Ronaldo,UEFA Super Cup,Winner,2017/2018
42,Cristiano Ronaldo,UEFA Super Cup,Winner,2016/2017
43,Cristiano Ronaldo,UEFA Super Cup,Winner,2014/2015
44,Cristiano Ronaldo,UEFA Super Cup,Runner-up,2008/2009
45,Cristiano Ronaldo,FIFA Club World Cup,Winner,2017 UAE
46,Cristiano Ronaldo,FIFA Club World Cup,Winner,2016 Japan
47,Cristiano Ronaldo,FIFA Club World Cup,Winner,2014 Morocco
48,Cristiano Ronaldo,FIFA Club World Cup,Winner,2008 Japan
49,Cristiano Ronaldo,Audi Cup,Runner-up,2015
50,Cristiano Ronaldo,International Champions Cup,Winner,2013
0,Neymar Jr,La Liga,Winner,2015/2016
1,Neymar Jr,La Liga,Winner,2014/2015
2,Neymar Jr,La Liga,Runner-up,2016/2017
3,Neymar Jr,La Liga,Runner-up,2013/2014
4,Neymar Jr,Ligue 1,Winner,2018/2019
5,Neymar Jr,Ligue 1,Winner,2017/2018
6,Neymar Jr,Copa del Rey,Winner,2016/2017
7,Neymar Jr,Copa del Rey,Winner,2015/2016
8,Neymar Jr,Copa del Rey,Winner,2014/2015
9,Neymar Jr,Copa del Rey,Runner-up,2013/2014
10,Neymar Jr,Coupe de France,Winner,2017/2018
11,Neymar Jr,Coupe de France,Runner-up,2018/2019
12,Neymar Jr,Copa do Brasil,Winner,2010
13,Neymar Jr,Coupe de la Ligue,Winner,2017/2018
14,Neymar Jr,Super Cup,Winner,2016/2017
15,Neymar Jr,Super Cup,Winner,2013/2014
16,Neymar Jr,Super Cup,Runner-up,2015/2016
17,Neymar Jr,Trophée des Champions,Winner,2019/2020
18,Neymar Jr,Trophée des Champions,Winner,2018/2019
19,Neymar Jr,Copa Catalunya,Winner,2013/2014
20,Neymar Jr,Supercopa de Catalunya,Runner-up,2016
21,Neymar Jr,Paulista A1,Winner,2012
22,Neymar Jr,Paulista A1,Winner,2011
23,Neymar Jr,Paulista A1,Winner,2010
24,Neymar Jr,Paulista A1,Runner-up,2013
25,Neymar Jr,Paulista A1,Runner-up,2009
26,Neymar Jr,Trofeo Joan Gamper,Winner,2016
27,Neymar Jr,Confederations Cup,Winner,2013 Brazil
28,Neymar Jr,Copa America,Winner,2019 Brazil
29,Neymar Jr,Olympics,Winner,2016 Rio de Janeiro
30,Neymar Jr,Olympics,Runner-up,2012 London
31,Neymar Jr,Sudamericano U20,Winner,Peru 2011
32,Neymar Jr,UEFA Champions League,Winner,2014/2015
33,Neymar Jr,CONMEBOL Libertadores,Winner,2011
34,Neymar Jr,UEFA Super Cup,Winner,2015/2016
35,Neymar Jr,CONMEBOL Recopa,Winner,2012/2013
36,Neymar Jr,FIFA Club World Cup,Winner,2015 Japan
37,Neymar Jr,FIFA Club World Cup,Runner-up,2011 Japan
0,J. Oblak,La Liga,Runner-up,2018/2019
1,J. Oblak,La Liga,Runner-up,2017/2018
2,J. Oblak,Primeira Liga,Winner,2013/2014
3,J. Oblak,Taça de Portugal,Winner,2013/2014
4,J. Oblak,Taça da Liga,Winner,2013/2014
5,J. Oblak,Super Cup,Winner,2014/2015
6,J. Oblak,Super Cup,Runner-up,2019/2020
7,J. Oblak,UEFA Champions League,Runner-up,2015/2016
8,J. Oblak,UEFA Europa League,Winner,2017/2018
9,J. Oblak,UEFA Europa League,Runner-up,2013/2014
10,J. Oblak,UEFA Super Cup,Winner,2018/2019
11,J. Oblak,Audi Cup,Winner,2017
12,J. Oblak,International Champions Cup,Runner-up,2019
0,E. Hazard,Premier League,Winner,2016/2017
1,E. Hazard,Premier League,Winner,2014/2015
2,E. Hazard,Ligue 1,Winner,2010/2011
3,E. Hazard,FA Cup,Winner,2017/2018
4,E. Hazard,FA Cup,Runner-up,2016/2017
5,E. Hazard,Coupe de France,Winner,2010/2011
6,E. Hazard,League Cup,Winner,2014/2015
7,E. Hazard,League Cup,Runner-up,2018/2019
8,E. Hazard,Community Shield,Runner-up,2018/2019
9,E. Hazard,Community Shield,Runner-up,2017/2018
10,E. Hazard,Community Shield,Runner-up,2015/2016
11,E. Hazard,Community Shield,Runner-up,2012/2013
12,E. Hazard,Super Cup,Winner,2019/2020
13,E. Hazard,Trophée des Champions,Runner-up,2011/2012
14,E. Hazard,UEFA Europa League,Winner,2018/2019
15,E. Hazard,UEFA Europa League,Winner,2012/2013
16,E. Hazard,UEFA Super Cup,Runner-up,2013/2014
17,E. Hazard,UEFA Super Cup,Runner-up,2012/2013
18,E. Hazard,FIFA Club World Cup,Runner-up,2012 Japan
19,E. Hazard,International Champions Cup,Runner-up,2013
0,K. De Bruyne,Premier League,Winner,2018/2019
1,K. De Bruyne,Premier League,Winner,2017/2018
2,K. De Bruyne,Bundesliga,Runner-up,2014/2015
3,K. De Bruyne,First Division A,Winner,2010/2011
4,K. De Bruyne,FA Cup,Winner,2018/2019
5,K. De Bruyne,DFB Pokal,Winner,2014/2015
6,K. De Bruyne,Cup,Winner,2008/2009
7,K. De Bruyne,League Cup,Winner,2018/2019
8,K. De Bruyne,League Cup,Winner,2017/2018
9,K. De Bruyne,League Cup,Winner,2015/2016
10,K. De Bruyne,Super Cup,Winner,2011/2012
11,K. De Bruyne,Super Cup,Runner-up,2009/2010
12,K. De Bruyne,Community Shield,Winner,2019/2020
13,K. De Bruyne,Community Shield,Winner,2018/2019
14,K. De Bruyne,Super Cup,Winner,2015/2016
15,K. De Bruyne,UEFA Super Cup,Runner-up,2013/2014
16,K. De Bruyne,International Champions Cup,Runner-up,2013
17,K. De Bruyne,Premier League Asia Trophy,Runner-up,2019
0,M. ter Stegen,La Liga,Winner,2018/2019
1,M. ter Stegen,La Liga,Winner,2017/2018
2,M. ter Stegen,La Liga,Winner,2015/2016
3,M. ter Stegen,La Liga,Winner,2014/2015
4,M. ter Stegen,La Liga,Runner-up,2016/2017
5,M. ter Stegen,Copa del Rey,Winner,2017/2018
6,M. ter Stegen,Copa del Rey,Winner,2016/2017
7,M. ter Stegen,Copa del Rey,Winner,2015/2016
8,M. ter Stegen,Copa del Rey,Winner,2014/2015
9,M. ter Stegen,Copa del Rey,Runner-up,2018/2019
10,M. ter Stegen,Super Cup,Winner,2018/2019
11,M. ter Stegen,Super Cup,Winner,2016/2017
12,M. ter Stegen,Super Cup,Runner-up,2017/2018
13,M. ter Stegen,Super Cup,Runner-up,2015/2016
14,M. ter Stegen,Supercopa de Catalunya,Winner,2018
15,M. ter Stegen,Supercopa de Catalunya,Runner-up,2019
16,M. ter Stegen,Supercopa de Catalunya,Runner-up,2016
17,M. ter Stegen,Play-offs 1/2,Winner,2010/2011
18,M. ter Stegen,Trofeo Joan Gamper,Winner,2019
19,M. ter Stegen,Trofeo Joan Gamper,Winner,2018
20,M. ter Stegen,Trofeo Joan Gamper,Winner,2017
21,M. ter Stegen,Trofeo Joan Gamper,Winner,2016
22,M. ter Stegen,Confederations Cup,Winner,2017 Russia
23,M. ter Stegen,UEFA Champions League,Winner,2014/2015
24,M. ter Stegen,UEFA Super Cup,Winner,2015/2016
25,M. ter Stegen,FIFA Club World Cup,Winner,2015 Japan
0,V. van Dijk,Premier League,Runner-up,2018/2019
1,V. van Dijk,Premiership,Winner,2014/2015
2,V. van Dijk,Premiership,Winner,2013/2014
3,V. van Dijk,League Cup,Runner-up,2016/2017
4,V. van Dijk,League Cup,Winner,2014/2015
5,V. van Dijk,Community Shield,Runner-up,2019/2020
6,V. van Dijk,UEFA Nations League,Runner-up,2018/2019
7,V. van Dijk,UEFA Champions League,Winner,2018/2019
8,V. van Dijk,UEFA Champions League,Runner-up,2017/2018
9,V. van Dijk,UEFA Super Cup,Winner,2019/2020
10,V. van Dijk,FIFA Club World Cup,Winner,2019 Qatar
0,L. Modrić,World Cup,Runner-up,2018 Russia
1,L. Modrić,La Liga,Winner,2016/2017
2,L. Modrić,La Liga,Runner-up,2015/2016
3,L. Modrić,La Liga,Runner-up,2014/2015
4,L. Modrić,La Liga,Runner-up,2012/2013
5,L. Modrić,1. HNL,Winner,2007/2008
6,L. Modrić,1. HNL,Winner,2006/2007
7,L. Modrić,1. HNL,Winner,2005/2006
8,L. Modrić,Copa del Rey,Winner,2013/2014
9,L. Modrić,Copa del Rey,Runner-up,2012/2013
10,L. Modrić,Cup,Winner,2007/2008
11,L. Modrić,Cup,Winner,2006/2007
12,L. Modrić,League Cup,Runner-up,2008/2009
13,L. Modrić,Super Cup,Winner,2019/2020
14,L. Modrić,Super Cup,Winner,2017/2018
15,L. Modrić,Super Cup,Winner,2012/2013
16,L. Modrić,Super Cup,Runner-up,2014/2015
17,L. Modrić,UEFA Champions League,Winner,2017/2018
18,L. Modrić,UEFA Champions League,Winner,2016/2017
19,L. Modrić,UEFA Champions League,Winner,2015/2016
20,L. Modrić,UEFA Champions League,Winner,2013/2014
21,L. Modrić,UEFA Super Cup,Winner,2017/2018
22,L. Modrić,UEFA Super Cup,Winner,2016/2017
23,L. Modrić,UEFA Super Cup,Winner,2014/2015
24,L. Modrić,UEFA Super Cup,Runner-up,2018/2019
25,L. Modrić,FIFA Club World Cup,Winner,2018 UAE
26,L. Modrić,FIFA Club World Cup,Winner,2017 UAE
27,L. Modrić,FIFA Club World Cup,Winner,2016 Japan
28,L. Modrić,FIFA Club World Cup,Winner,2014 Morocco
29,L. Modrić,Audi Cup,Runner-up,2015
30,L. Modrić,International Champions Cup,Winner,2013
0,M. Salah,Premier League,Runner-up,2018/2019
1,M. Salah,Serie A,Runner-up,2016/2017
2,M. Salah,Super League,Winner,2012/2013
3,M. Salah,Schweizer Pokal,Runner-up,2012/2013
4,M. Salah,Community Shield,Runner-up,2019/2020
5,M. Salah,Community Shield,Runner-up,2015/2016
6,M. Salah,Africa Cup of Nations,Runner-up,2017 Gabon
7,M. Salah,UEFA Champions League,Winner,2018/2019
8,M. Salah,UEFA Champions League,Runner-up,2017/2018
9,M. Salah,UEFA Super Cup,Winner,2019/2020
10,M. Salah,FIFA Club World Cup,Winner,2019 Qatar
11,M. Salah,Audi Cup,Runner-up,2017
12,M. Salah,Premier League Asia Trophy,Winner,2017
0,K. Mbappé,World Cup,Winner,2018 Russia
1,K. Mbappé,UEFA U19 Championship,Winner,2016 Germany
2,K. Mbappé,Ligue 1,Winner,2018/2019
3,K. Mbappé,Ligue 1,Winner,2017/2018
4,K. Mbappé,Ligue 1,Winner,2016/2017
5,K. Mbappé,Coupe de France,Winner,2017/2018
6,K. Mbappé,Coupe de France,Runner-up,2018/2019
7,K. Mbappé,Coupe de la Ligue,Winner,2017/2018
8,K. Mbappé,Coupe de la Ligue,Runner-up,2016/2017
9,K. Mbappé,Trophée des Champions,Winner,2019/2020
10,K. Mbappé,Trophée des Champions,Winner,2018/2019
11,K. Mbappé,Trophée des Champions,Runner-up,2017/2018
0,K. Koulibaly,Serie A,Runner-up,2018/2019
1,K. Koulibaly,Serie A,Runner-up,2017/2018
2,K. Koulibaly,Serie A,Runner-up,2015/2016
3,K. Koulibaly,Cup,Winner,2012/2013
4,K. Koulibaly,Super Cup,Runner-up,2013/2014
5,K. Koulibaly,Super Cup,Winner,2014/2015
6,K. Koulibaly,Africa Cup of Nations,Runner-up,2019 Egypt
0,H. Kane,Premier League,Runner-up,2016/2017
1,H. Kane,League Cup,Runner-up,2014/2015
2,H. Kane,MLS All-Star,Runner-up,2015
3,H. Kane,UEFA Champions League,Runner-up,2018/2019
4,H. Kane,Audi Cup,Winner,2019
5,H. Kane,International Champions Cup,Winner,2018
0,Alisson,Premier League,Runner-up,2018/2019
1,Alisson,Serie A,Runner-up,2016/2017
2,Alisson,Community Shield,Runner-up,2019/2020
3,Alisson,Gaúcho 1,Winner,2016
4,Alisson,Gaúcho 1,Winner,2015
5,Alisson,Gaúcho 1,Winner,2014
6,Alisson,Gaúcho 1,Winner,2013
7,Alisson,Copa America,Winner,2019 Brazil
8,Alisson,World Youth Festival Toulon,Winner,2013
9,Alisson,UEFA Champions League,Winner,2018/2019
10,Alisson,UEFA Super Cup,Winner,2019/2020
11,Alisson,FIFA Club World Cup,Winner,2019 Qatar
0,De Gea,Premier League,Winner,2012/2013
1,De Gea,Premier League,Runner-up,2017/2018
2,De Gea,Premier League,Runner-up,2011/2012
3,De Gea,FA Cup,Winner,2015/2016
4,De Gea,FA Cup,Runner-up,2017/2018
5,De Gea,Copa del Rey,Runner-up,2009/2010
6,De Gea,League Cup,Winner,2016/2017
7,De Gea,Community Shield,Winner,2016/2017
8,De Gea,Community Shield,Winner,2013/2014
9,De Gea,Community Shield,Winner,2011/2012
10,De Gea,UEFA Europa League,Winner,2016/2017
11,De Gea,UEFA Europa League,Winner,2009/2010
12,De Gea,UEFA Super Cup,Winner,2010/2011
13,De Gea,UEFA Super Cup,Runner-up,2017/2018
14,De Gea,International Champions Cup,Winner,2014
15,De Gea,UEFA U21 Championship,Winner,2013 Israel
16,De Gea,UEFA U21 Championship,Winner,2011 Denmark
0,N. Kanté,World Cup,Winner,2018 Russia
1,N. Kanté,European Championship,Runner-up,2016 France
2,N. Kanté,Premier League,Winner,2016/2017
3,N. Kanté,Premier League,Winner,2015/2016
4,N. Kanté,FA Cup,Winner,2017/2018
5,N. Kanté,FA Cup,Runner-up,2016/2017
6,N. Kanté,League Cup,Runner-up,2018/2019
7,N. Kanté,Community Shield,Runner-up,2018/2019
8,N. Kanté,Community Shield,Runner-up,2017/2018
9,N. Kanté,UEFA Europa League,Winner,2018/2019
10,N. Kanté,UEFA Super Cup,Runner-up,2019/2020
0,G. Chiellini,Serie A,Winner,2018/2019
1,G. Chiellini,Serie A,Winner,2017/2018
2,G. Chiellini,Serie A,Winner,2016/2017
3,G. Chiellini,Serie A,Winner,2015/2016
4,G. Chiellini,Serie A,Winner,2014/2015
5,G. Chiellini,Serie A,Winner,2013/2014
6,G. Chiellini,Serie A,Winner,2012/2013
7,G. Chiellini,Serie A,Winner,2011/2012
8,G. Chiellini,Serie A,Runner-up,2008/2009
9,G. Chiellini,Serie B,Winner,2006/2007
10,G. Chiellini,Coppa Italia,Winner,2017/2018
11,G. Chiellini,Coppa Italia,Winner,2016/2017
12,G. Chiellini,Coppa Italia,Winner,2015/2016
13,G. Chiellini,Coppa Italia,Winner,2014/2015
14,G. Chiellini,Coppa Italia,Runner-up,2011/2012
15,G. Chiellini,Coppa Italia,Runner-up,2003/2004
16,G. Chiellini,Super Cup,Winner,2018/2019
17,G. Chiellini,Super Cup,Winner,2015/2016
18,G. Chiellini,Super Cup,Winner,2013/2014
19,G. Chiellini,Super Cup,Winner,2012/2013
20,G. Chiellini,Super Cup,Runner-up,2019/2020
21,G. Chiellini,Super Cup,Runner-up,2017/2018
22,G. Chiellini,Super Cup,Runner-up,2016/2017
23,G. Chiellini,Super Cup,Runner-up,2014/2015
24,G. Chiellini,Super Cup,Runner-up,2005/2006
25,G. Chiellini,European Championship,Runner-up,2012 Poland/Ukraine
26,G. Chiellini,UEFA Champions League,Runner-up,2016/2017
27,G. Chiellini,UEFA Champions League,Runner-up,2014/2015
0,S. Agüero,World Cup,Runner-up,2014 Brazil
1,S. Agüero,Copa America,Runner-up,2016  USA
2,S. Agüero,Copa America,Runner-up,2015 Chile
3,S. Agüero,Premier League,Winner,2018/2019
4,S. Agüero,Premier League,Winner,2017/2018
5,S. Agüero,Premier League,Winner,2013/2014
6,S. Agüero,Premier League,Winner,2011/2012
7,S. Agüero,Premier League,Runner-up,2014/2015
8,S. Agüero,Premier League,Runner-up,2012/2013
9,S. Agüero,FA Cup,Winner,2018/2019
10,S. Agüero,FA Cup,Runner-up,2012/2013
11,S. Agüero,Copa del Rey,Runner-up,2009/2010
12,S. Agüero,League Cup,Winner,2018/2019
13,S. Agüero,League Cup,Winner,2017/2018
14,S. Agüero,League Cup,Winner,2015/2016
15,S. Agüero,League Cup,Winner,2013/2014
16,S. Agüero,Community Shield,Winner,2019/2020
17,S. Agüero,Community Shield,Winner,2018/2019
18,S. Agüero,Community Shield,Winner,2012/2013
19,S. Agüero,Community Shield,Runner-up,2014/2015
20,S. Agüero,Community Shield,Runner-up,2011/2012
21,S. Agüero,UEFA Europa League,Winner,2009/2010
22,S. Agüero,UEFA Super Cup,Winner,2010/2011
23,S. Agüero,Audi Cup,Runner-up,2013
24,S. Agüero,Premier League Asia Trophy,Runner-up,2019
0,Sergio Ramos,World Cup,Winner,2010 South Africa
1,Sergio Ramos,European Championship,Winner,2012 Poland/Ukraine
2,Sergio Ramos,European Championship,Winner,2008 Austria/Switzerland
3,Sergio Ramos,Confederations Cup,Runner-up,2013 Brazil
4,Sergio Ramos,EC Qualification,Winner,2008 Austria/Switzerland
5,Sergio Ramos,La Liga,Winner,2016/2017
6,Sergio Ramos,La Liga,Winner,2011/2012
7,Sergio Ramos,La Liga,Winner,2007/2008
8,Sergio Ramos,La Liga,Winner,2006/2007
9,Sergio Ramos,La Liga,Runner-up,2015/2016
10,Sergio Ramos,La Liga,Runner-up,2014/2015
11,Sergio Ramos,La Liga,Runner-up,2012/2013
12,Sergio Ramos,La Liga,Runner-up,2010/2011
13,Sergio Ramos,La Liga,Runner-up,2009/2010
14,Sergio Ramos,La Liga,Runner-up,2008/2009
15,Sergio Ramos,La Liga,Runner-up,2005/2006
16,Sergio Ramos,Copa del Rey,Winner,2013/2014
17,Sergio Ramos,Copa del Rey,Winner,2010/2011
18,Sergio Ramos,Copa del Rey,Runner-up,2012/2013
19,Sergio Ramos,Super Cup,Winner,2019/2020
20,Sergio Ramos,Super Cup,Winner,2017/2018
21,Sergio Ramos,Super Cup,Winner,2012/2013
22,Sergio Ramos,Super Cup,Winner,2008/2009
23,Sergio Ramos,Super Cup,Runner-up,2014/2015
24,Sergio Ramos,Super Cup,Runner-up,2011/2012
25,Sergio Ramos,Super Cup,Runner-up,2007/2008
26,Sergio Ramos,UEFA Champions League,Winner,2017/2018
27,Sergio Ramos,UEFA Champions League,Winner,2016/2017
28,Sergio Ramos,UEFA Champions League,Winner,2015/2016
29,Sergio Ramos,UEFA Champions League,Winner,2013/2014
30,Sergio Ramos,UEFA Super Cup,Winner,2017/2018
31,Sergio Ramos,UEFA Super Cup,Winner,2016/2017
32,Sergio Ramos,UEFA Super Cup,Winner,2014/2015
33,Sergio Ramos,UEFA Super Cup,Runner-up,2018/2019
34,Sergio Ramos,FIFA Club World Cup,Winner,2018 UAE
35,Sergio Ramos,FIFA Club World Cup,Winner,2017 UAE
36,Sergio Ramos,FIFA Club World Cup,Winner,2016 Japan
37,Sergio Ramos,FIFA Club World Cup,Winner,2014 Morocco
38,Sergio Ramos,Audi Cup,Runner-up,2015
39,Sergio Ramos,Emirates Cup,Runner-up,2008
40,Sergio Ramos,International Champions Cup,Winner,2013
0,L. Suárez,Eredivisie,Runner-up,2009/2010
1,L. Suárez,Eredivisie,Runner-up,2007/2008
2,L. Suárez,La Liga,Winner,2018/2019
3,L. Suárez,La Liga,Winner,2017/2018
4,L. Suárez,La Liga,Winner,2015/2016
5,L. Suárez,La Liga,Winner,2014/2015
6,L. Suárez,La Liga,Runner-up,2016/2017
7,L. Suárez,Premier League,Runner-up,2013/2014
8,L. Suárez,FA Cup,Runner-up,2011/2012
9,L. Suárez,KNVB Beker,Winner,2009/2010
10,L. Suárez,Copa del Rey,Winner,2017/2018
11,L. Suárez,Copa del Rey,Winner,2016/2017
12,L. Suárez,Copa del Rey,Winner,2015/2016
13,L. Suárez,Copa del Rey,Winner,2014/2015
14,L. Suárez,Copa del Rey,Runner-up,2018/2019
15,L. Suárez,League Cup,Winner,2011/2012
16,L. Suárez,Super Cup,Winner,2007/2008
17,L. Suárez,Super Cup,Runner-up,2010/2011
18,L. Suárez,Super Cup,Winner,2018/2019
19,L. Suárez,Super Cup,Winner,2016/2017
20,L. Suárez,Super Cup,Runner-up,2017/2018
21,L. Suárez,Super Cup,Runner-up,2015/2016
22,L. Suárez,Supercopa de Catalunya,Winner,2018
23,L. Suárez,Supercopa de Catalunya,Runner-up,2019
24,L. Suárez,Supercopa de Catalunya,Runner-up,2016
25,L. Suárez,Trofeo Joan Gamper,Winner,2019
26,L. Suárez,Trofeo Joan Gamper,Winner,2018
27,L. Suárez,Trofeo Joan Gamper,Winner,2017
28,L. Suárez,Trofeo Joan Gamper,Winner,2016
29,L. Suárez,Copa America,Winner,2011 Argentina
30,L. Suárez,China Cup,Winner,2018
31,L. Suárez,UEFA Champions League,Winner,2014/2015
32,L. Suárez,UEFA Super Cup,Winner,2015/2016
33,L. Suárez,FIFA Club World Cup,Winner,2015 Japan
0,R. Lewandowski,Bundesliga,Winner,2018/2019
1,R. Lewandowski,Bundesliga,Winner,2017/2018
2,R. Lewandowski,Bundesliga,Winner,2016/2017
3,R. Lewandowski,Bundesliga,Winner,2015/2016
4,R. Lewandowski,Bundesliga,Winner,2014/2015
5,R. Lewandowski,Bundesliga,Winner,2011/2012
6,R. Lewandowski,Bundesliga,Winner,2010/2011
7,R. Lewandowski,Bundesliga,Runner-up,2013/2014
8,R. Lewandowski,Bundesliga,Runner-up,2012/2013
9,R. Lewandowski,Ekstraklasa,Winner,2009/2010
10,R. Lewandowski,DFB Pokal,Winner,2018/2019
11,R. Lewandowski,DFB Pokal,Winner,2015/2016
12,R. Lewandowski,DFB Pokal,Winner,2011/2012
13,R. Lewandowski,DFB Pokal,Runner-up,2017/2018
14,R. Lewandowski,DFB Pokal,Runner-up,2013/2014
15,R. Lewandowski,Cup,Winner,2008/2009
16,R. Lewandowski,Super Cup,Winner,2009/2010
17,R. Lewandowski,Super Cup,Winner,2018/2019
18,R. Lewandowski,Super Cup,Winner,2017/2018
19,R. Lewandowski,Super Cup,Winner,2016/2017
20,R. Lewandowski,Super Cup,Winner,2013/2014
21,R. Lewandowski,Super Cup,Runner-up,2019/2020
22,R. Lewandowski,Super Cup,Runner-up,2015/2016
23,R. Lewandowski,Super Cup,Runner-up,2014/2015
24,R. Lewandowski,Super Cup,Runner-up,2012/2013
25,R. Lewandowski,Super Cup,Runner-up,2011/2012
26,R. Lewandowski,MLS All-Star,Runner-up,2014
27,R. Lewandowski,UEFA Champions League,Runner-up,2012/2013
28,R. Lewandowski,Audi Cup,Winner,2015
29,R. Lewandowski,Audi Cup,Runner-up,2019
